Lab_id,SampleType,SampleId,ceramideName,Unit,replicate,Protocol,Instrument,MassAnalyzerType,C_SinglePoint,Calibration Line 1,Calibration Line 2,Avg_C_Adj
02b,NIST SRM,SRM 3,Cer d18:1/16:0,µmol/L,3,Standard,QTRAP 6500+,QQQ,0.1753003,0.13323408,0.117495939,0.125365009
02b,NIST SRM,SRM 3,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.028248588,0.042908659,0.043231201,0.04306993
02b,NIST SRM,SRM 3,Cer d18:1/18:0,µmol/L,2,Standard,QTRAP 6500+,QQQ,0.027815468,0.042239865,0.042559043,0.042399454
02b,NIST SRM,SRM 3,Cer d18:1/18:0,µmol/L,3,Standard,QTRAP 6500+,QQQ,0.029513889,0.044862453,0.045194822,0.045028638
02b,NIST SRM,SRM 3,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,1.251428571,1.315300419,1.255998567,1.285649493
02b,NIST SRM,SRM 3,Cer d18:1/24:0,µmol/L,2,Standard,QTRAP 6500+,QQQ,1.240540541,1.303653389,1.244921843,1.274287616
02b,NIST SRM,SRM 3,Cer d18:1/24:0,µmol/L,3,Standard,QTRAP 6500+,QQQ,1.258333333,1.322686509,1.263022991,1.29285475
02b,NIST SRM,SRM 3,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.435114504,0.484258705,0.456001371,0.470130038
02b,NIST SRM,SRM 3,Cer d18:1/24:1,µmol/L,2,Standard,QTRAP 6500+,QQQ,0.427911275,0.476033357,0.448358241,0.462195799
02b,NIST SRM,SRM 3,Cer d18:1/24:1,µmol/L,3,Standard,QTRAP 6500+,QQQ,0.408592322,0.453973093,0.427859476,0.440916285
02b,NIST SRM,SRM 4,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.192401961,0.146398724,0.129041571,0.137720148
02b,NIST SRM,SRM 4,Cer d18:1/16:0,µmol/L,2,Standard,QTRAP 6500+,QQQ,0.1829653,0.1391345,0.122670715,0.130902608
02b,NIST SRM,SRM 4,Cer d18:1/16:0,µmol/L,3,Standard,QTRAP 6500+,QQQ,0.185736677,0.141267872,0.124541721,0.132904796
02b,NIST SRM,SRM 4,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.028746398,0.043677344,0.044003752,0.043840548
02b,NIST SRM,SRM 4,Cer d18:1/18:0,µmol/L,2,Standard,QTRAP 6500+,QQQ,0.029528719,0.044885353,0.045217836,0.045051594
02b,NIST SRM,SRM 4,Cer d18:1/18:0,µmol/L,3,Standard,QTRAP 6500+,QQQ,0.028447025,0.043215072,0.043539155,0.043377114
